chipUid;captureDate;captureAddressPostCode;captureAddressPostName;captureAddressThoroughfare;captureAddressLocatorDesignator;captureAddressLocatorBuilding;captureAddressDescription;captureLat;captureLon;animalSpecies;animalBreed;animalSex;animalColor;animalAge;animalFur;animalHeight;animalWeight;vaccinationsInfo;isSterilizationInfo;releasedDate;releasedAddressPostCode;releasedAddressPostName;releasedAddressThoroughfare;releasedAddressLocatorDesignator;releasedAddressLocatorBuilding;releasedAddressDescription;releasedLat;releasedLon;days_in_captivity;captureYear;captureMonth
2334;2024-01-15;76492;с. Микитинці;;;;;;;собака;;Самиця;руда;2-3 роки;;;;;ІСТИНА;2024-01-28;76492;с. Микитинці;;;;;;;13.0;2024.0;1.0
2340;2023-01-22;77441;с. Підпечари;;;;;;;собака;;Самиця;трьохколірна;1 рік;;;;;ІСТИНА;2024-01-31;77441;с. Підпечари;;;;;;;374.0;2023.0;1.0
2341;2023-01-22;77441;с. Підпечари;;;;;;;собака;;Самиця;трьохколірна;1 рік;;;;;ІСТИНА;2024-01-31;77441;с. Підпечари;;;;;;;374.0;2023.0;1.0
2342;2024-02-06;76493;с.Крихівці;Калинова Слобода;;;;;;собака;;Самиця;чорна;2-3 роки;;;;;ІСТИНА;2024-06-02;76493;с.Крихівці;;;;;;;117.0;2024.0;2.0
2343;2024-02-05;76492;с.Угорники;;;;;;;собака;;Самець;чорний;2-3 роки;;;;;ІСТИНА;2024-02-04;76492;с.Угорники;;;;;;;-1.0;2024.0;2.0
2093;2023-02-01;76009;Івано-Франківськ;вул.Січеславської;;;;;;собака;;Самиця;темно-руда;3-6 років;;;;;ІСТИНА;;76009;Івано-Франківськ;вул.Січеславської;;;;;;;2023.0;2.0
2094;2024-02-01;76002;Івано-Франківськ;вул. Хриплинська;;;;;;собака;;Самиця;чорна з підпалом;1 рік;;;;;ІСТИНА;2024-02-08;76002;Івано-Франківськ;вул. Хриплинська;;;;;;7.0;2024.0;2.0
2095;2024-02-02;76002;Івано-Франківськ;вул. Хриплинська;;;;;;собака;;Самиця;чорна з підпалом;1 рік;;;;;ІСТИНА;2024-02-02;76002;Івано-Франківськ;вул. Хриплинська;;;;;;0.0;2024.0;2.0
2096;2024-02-03;76005;Івано-Франківськ;вул. Довженка;;;;;;собака;;Самиця;біла;1 рік;;;;;ІСТИНА;2024-02-08;76005;Івано-Франківськ;прилаштована;;;;;;5.0;2024.0;2.0
2097;2024-02-03;76492;Івано-Франківськ;вул.Сеченова;;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;2024-02-08;76492;Івано-Франківськ;вул.Сеченова;;;;;;5.0;2024.0;2.0
2344;2024-02-01;76495;с.Хриплин;;;;;;;собака;;Самиця;двохколірна;2-3 роки;;;;;ІСТИНА;2024-02-05;76495;с. Хриплин;;;;;;;4.0;2024.0;2.0
2345;2024-02-04;76014;с.Опришівці;біля церкви;;;;;;собака;;Самиця;чорнокоричнева;2-3 роки;;;;;ІСТИНА;2024-02-09;76014;с.Опришівці;;;;;;;5.0;2024.0;2.0
2346;2024-02-05;77457;с. Радча;магазин Вікторія;;;;;;собака;;Самиця;трьохколірна;2-3 роки;;;;;ІСТИНА;2024-02-10;77457;с. Радча;магазин Вікторія;;;;;;5.0;2024.0;2.0
2347;2024-02-06;76006;Івано-Франківськ;вул.Миколайчука;17б;;;;;собака;;Самиця;чепрана;1 рік;;;;;ІСТИНА;2024-02-11;76006;Івано-Франківськ;вул.Миколайчука 17 б;;;;;;5.0;2024.0;2.0
2349;2024-02-08;76071;Івано-Франківськ;вул.Декабристів;;;;;;собака;;Самиця;біло-чорна;2-3 роки;;;;;ІСТИНА;2024-02-12;76071;Івано-Франківськ;вул.Декабристів;;;;;;4.0;2024.0;2.0
2352;2024-02-13;76006;Івано-Франківськ;вул.Симоненка;;;;;;собака;;Самиця;темно-руда;2-3 роки;;;;;ІСТИНА;2024-02-23;76006;Івано-Франківськ;вул.Симоненка;;;;;;10.0;2024.0;2.0
2354;2024-02-16;76494;Івано-Франківськ;вул. Юності;;;;;;собака;;Самиця;3-х колірна;3-6 років;;;;;ІСТИНА;2024-02-21;76494;Івано-Франківськ;вул.Юності;;;;;;5.0;2024.0;2.0
2356;2024-02-21;76010;Івано-Франківськ;вул.Кривоноса;;;;;;собака;;Самиця;чорна;2-3 роки;;;;;ІСТИНА;2024-02-21;76010;Івано-Франківськ;вул.Кривоноса;;;;;;0.0;2024.0;2.0
2357;2024-02-20;76014;Івано-Франківськ;вул. Василишина;;;;;;собака;;Самиця;трьохколірна;2-3 роки;;;;;ІСТИНА;2024-02-25;76014;Івано-Франківськ;вул. Василишина;;;;;;5.0;2024.0;2.0
2359;2024-02-22;76000;Івано-Франківськ;вул. Федьковича;;;;;;собака;;Самець;чорний з підпалом;3-6 років;;;;;ІСТИНА;2024-03-07;76000;Івано-Франківськ;райноІФТУНГ;;;;;;14.0;2024.0;2.0
2380;2024-03-04;76014;Івано-Франківськ;вул. Коновальця;;;;;;собака;;Самиця;чепрана;2-3 роки;;;;;ІСТИНА;2024-03-08;76014;Івано-Франківськ;вул. Коновальця;;;;;;4.0;2024.0;3.0
2384;2024-03-04;76006;Івано-Франківськ;вул.Максимовича;18;;;;;собака;;Самець;чорний з підпалом;3-6 років;;;;;ІСТИНА;2024-03-15;76006;Івано-Франківськ;прилаштована;;;;;;11.0;2024.0;3.0
2528;2024-03-12;76492;Івано-Франківськ;вул.Тополина ;6;;;;;собака;;Самиця;чорна;Невідомо;;;;;ІСТИНА;2024-09-12;76492;Івано-Франківськ;вул.Тополина ;;;;;;184.0;2024.0;3.0
2385;2024-03-19;76014;Івано-Франківськ;вул.Медична;;;;;;собака;;Самиця;світлоруда;2-3 роки;;;;;ІСТИНА;2024-03-22;76014;Івано-Франківськ;вул.Медична;;;;;;3.0;2024.0;3.0
2395;2024-03-25;76010;Івано-Франківськ;вул.Ленкавського;;;;;;собака;;Самець;чорний з підпалом;3-6 років;;;;;ІСТИНА;2024-03-25;76010;Івано-Франківськ;вул.Ленкавського;;;;;;0.0;2024.0;3.0
2365;2024-03-07;76018;Івано-Франківськ;вул. Мазепи ;район озера;;;;;собака;;Самиця;чорна з підпалом;6-8 років;;;;;ІСТИНА;2024-03-15;76018;Івано-Франківськ;вул. Мазепи ;;;;;;8.0;2024.0;3.0
